app_name,permission
"org.chromium.webapk.a99c5754ae13d9943_v2","Third-Party"
"com.canva.editor","Third-Party"
"in.gov.uidai.facerd","Third-Party"
"com.matiks.app","Third-Party"
"com.myunidays","Third-Party"
"com.samsung.android.six.webtrans","Third-Party"
"com.google.android.apps.classroom","Third-Party"
"com.google.android.apps.youtube.music","Third-Party"
"com.digilocker.android","Third-Party"
"com.samsung.android.app.notes.addons","Third-Party"
"com.cricheroes.cricheroes.alpha","Third-Party"
"com.jio.jioplay.tv","Third-Party"
"com.google.android.apps.docs.editors.docs","Third-Party"
"com.google.android.apps.youtube.creator","Third-Party"
"com.github.android","Third-Party"
"com.samsung.android.voc","Third-Party"
"com.sec.android.app.clockpackage","Third-Party"
"com.linkedin.android","Third-Party"
"com.strava","Third-Party"
"com.spotify.music","Third-Party"
"com.rapido.passenger","Third-Party"
"com.bankofbaroda.mconnect","Third-Party"
"com.openai.chatgpt","Third-Party"
"in.swiggy.android.instamart","Third-Party"
"com.grofers.customerapp","Third-Party"
"com.samsung.android.app.notes","Third-Party"
"com.sec.android.app.voicenote","Third-Party"
"com.study.ratna","Third-Party"
"com.samsung.android.oneconnect","Third-Party"
"com.flipkart.android","Third-Party"
"com.community.oneroom","Third-Party"
"com.google.android.apps.docs.editors.sheets","Third-Party"
"com.truecaller","Third-Party"
"com.samsung.android.app.watchmanager","Third-Party"
"com.google.ar.core","Third-Party"
"com.app.abhibus","Third-Party"
"in.amazon.mShop.android.shopping","Third-Party"
"us.zoom.videomeetings","Third-Party"
"com.google.android.apps.nbu.paisa.user","Third-Party"
"com.dare2compete.app","Third-Party"
"com.google.android.apps.photos","Third-Party"
"com.josaa","Third-Party"
"com.discord","Third-Party"
"com.samsung.android.ipsgeofence","Third-Party"
"com.nextwave.wcc3","Third-Party"
"com.picsart.studio","Third-Party"
"com.whatsapp","Third-Party"
"com.sec.android.app.popupcalculator","Third-Party"
"com.camerasideas.instashot","Third-Party"
"com.application.zomato","Third-Party"
"com.farhanaakhi.screenrecorder","Third-Party"
"com.google.android.apps.docs","Third-Party"
"com.tradingview.tradingviewapp","Third-Party"
"easy.sudoku.puzzle.solver.free","Third-Party"
"com.bt.bms","Third-Party"
"com.google.android.contactkeys","Third-Party"
"com.monotype.android.font.samsungsans","Third-Party"
"com.sec.android.mimage.avatarstickers","Third-Party"
"org.localsend.localsend_app","Third-Party"
"com.miniclip.carrom","Third-Party"
"ai.regainapp","Third-Party"
"com.nextbillion.groww","Third-Party"
"com.jio.myjio","Third-Party"
"in.startv.hotstar","Third-Party"
"com.cricketlive.tvr.cricketlive.startv","Third-Party"
"com.apple.android.music","Third-Party"
"com.adobe.scan.android","Third-Party"
"com.monotype.android.font.cooljazz","Third-Party"
"com.pdfconvertonline.pdfconvert","Third-Party"
"com.lemon.lvoverseas","Third-Party"
"com.microsoft.office.excel","Third-Party"
"com.gatequestions.app","Third-Party"
"xyz.penpencil.physicswala","Third-Party"
"com.samsung.android.livestickers","Third-Party"
"com.myntra.android","Third-Party"
"in.gov.scholarships.nspotr","Third-Party"
"com.pinguo.camera360filter.lomowarm","Third-Party"
"app.netmirror.netmirrornew","Third-Party"
"org.telegram.messenger","Third-Party"
"in.swiggy.android","Third-Party"
"com.google.android.safetycore","Third-Party"
"com.samsung.android.aremojieditor","Third-Party"
"com.amazon.avod.thirdpartyclient","Third-Party"
"com.microsoft.office.powerpoint","Third-Party"
"money.super.payments","Third-Party"
"com.vpn.free.hotspot.secure.vpnify","Third-Party"
"com.iitms.sdsvnit","Third-Party"
"mega.privacy.android.app","Third-Party"
"com.BlackGames.MathRiddles","Third-Party"
