category,path
"File","/sdcard/DCIM/100PINT"
"File","/sdcard/DCIM/AR Emoji"
"File","/sdcard/DCIM/Call Background"
"File","/sdcard/DCIM/Camera"
"File","/sdcard/DCIM/CapCut"
"File","/sdcard/DCIM/Collage"
"File","/sdcard/DCIM/Facebook"
"File","/sdcard/DCIM/FilmoraGo"
"File","/sdcard/DCIM/GIF"
"File","/sdcard/DCIM/Screenshots"
"File","/sdcard/DCIM/Snapchat"
"File","/sdcard/DCIM/Video Editor"
"File","/sdcard/DCIM/Videocaptures"
"File","/sdcard/DCIM/WhatsApp"
"File","/sdcard/DCIM/runtastic"
"File","/sdcard/Pictures/100PINT"
"Image","/sdcard/Pictures/1757490836451.jpg"
"File","/sdcard/Pictures/ChatGPT"
"File","/sdcard/Pictures/Instagram"
"File","/sdcard/Pictures/Peachy"
"File","/sdcard/Pictures/Picsart"
"File","/sdcard/Pictures/Running"
"Image","/sdcard/Pictures/Screenshot 2025-08-19 at 9.35.34 PM (1).png"
"Image","/sdcard/Pictures/Screenshot 2025-09-07 at 1.49.40 AM (1).png"
"Image","/sdcard/Pictures/Screenshot 2025-10-04 at 1.57.31 PM.png"
"Image","/sdcard/Pictures/Screenshot 2025-10-06 at 10.38.59 AM.png"
"Image","/sdcard/Pictures/Screenshot 2025-10-06 at 11.31.24 PM.png"
"Image","/sdcard/Pictures/Screenshot_20250520_144353_Gallery.jpg"
"Image","/sdcard/Pictures/Screenshot_20250520_150425_Gallery.jpg"
"Image","/sdcard/Pictures/Screenshot_20250820_154151_Drive.jpg"
"File","/sdcard/Pictures/Telegram"
"File","/sdcard/Pictures/Threads"
"File","/sdcard/Pictures/Twitter"
"File","/sdcard/Pictures/VSCO"
"File","/sdcard/Pictures/WhatsApp"
"Image","/sdcard/Pictures/file_0000000020d4622faefe69ec84e4cabc.png"
"Image","/sdcard/Pictures/file_00000000b3286230a2fbdd529a9bf41c.png"
"File","/sdcard/Pictures/inshot"
"File","/sdcard/Pictures/recorder_shots"
"Document","/sdcard/Download/0217bbd6-9631-4396-9496-bf76a6eccf87-1.pdf"
"Document","/sdcard/Download/0217bbd6-9631-4396-9496-bf76a6eccf87.pdf"
"File","/sdcard/Download/10 Animated Background Spidy Tuts (24 March)"
"File","/sdcard/Download/10 Animated Background Spidy Tuts (24 March).zip"
"Image","/sdcard/Download/1000028422.jpg"
"Image","/sdcard/Download/1000036318.jpg"
"Image","/sdcard/Download/1000036323.jpg"
"Image","/sdcard/Download/1000039355.jpg"
"Document","/sdcard/Download/1000127246.pdf"
"Image","/sdcard/Download/1000157772.jpg"
"Document","/sdcard/Download/106107574.pdf"
"Document","/sdcard/Download/10th Maths Standard Blueprint (2025-26) [VisionPapers].pdf"
"Document","/sdcard/Download/10th_dob (1).pdf"
"Document","/sdcard/Download/10th_dob.pdf"
"Image","/sdcard/Download/1737359_address_Proof.jpg"
"Image","/sdcard/Download/1737359_id_Proof.jpg"
"Image","/sdcard/Download/1737359_proof_Of_Income.jpg"
"Document","/sdcard/Download/2-wattmeter method .pdf"
"Document","/sdcard/Download/25a60425-4c24-42e4-b337-1543fef25255.pdf"
"Document","/sdcard/Download/739142e4-d740-4da6-a500-a8f655c2470c.pdf"
"Document","/sdcard/Download/8897e3ad-59d8-433e-922a-3527583abbcf.pdf"
"Document","/sdcard/Download/990049738899594_signed.pdf"
"File","/sdcard/Download/A day in the sun (1).mp3"
"Document","/sdcard/Download/AI_for_Stock_Market_Darshil_Prajapati.pdf"
"Video","/sdcard/Download/AQMNQQVgAT3MivOBQDmr9_7B505ttrnA_N9jRvhSe8qgci_F_EHX7kMU177z6ZY8JslGH_M8fvVIBQGT-VfiVlj0QxwGd-ozg3QNIbw.mp4"
"Video","/sdcard/Download/AQNCmItYZUT9jHFr0pV9OWMt7ZwOQ3f_z4qMI91E-i9toQhEL_DYm668SXOfKAInKT4WIzx_dQLrVLVU5Ue1q_s836ZRKiymUonv7_Q.mp4"
"Video","/sdcard/Download/AQNYFL7FFnPNvbZiT1u-SfzuD9TEOSw252IQh_Jjze8Kw2rAi1n_XChfdu5alu8Px5kZrhONOQvPJmrHDnpjxiNUKnflJXSv4fhY-vM.mp4"
"Video","/sdcard/Download/AQO3AOEd9_LDdaCWjLg9qRH4JJfIoANPTT01Ch2iEdMhwRBLYuZTGfeioQRlhYNCWadADDW1YlLPceqoob7NdCc0oZ1QJ5l4djoc8dA.mp4"
"Video","/sdcard/Download/AQOCnM9CQnq5L2A8ImQ-ZptPium-roCOHmvGYuIZguqtd3gwQWSqthvF_AFAbdsUBRZKU_t4BhwU2U0iHSpejsiULC6iT4k1ipk1Z2Y.mp4"
"Video","/sdcard/Download/AQOQGafzFaGjMkiPRdq2fNBAlBa_ZeAktsamWVn2JsvsbR_jo9CBMFZWrN-9UE1z0qety2E_gVphMpUiQDD85z-5abY0LjewjOndbwM.mp4"
"Video","/sdcard/Download/AQOWYnjdK6mqQu6Q_px8Ca7Uf_7srcIUgOxtryna-RYzJrgxdjFHxX4UsltOIz10l2LhRfAVQoQ_n3uQ6MgY8mMfQqLlm-jH4FwBIZ4.mp4"
